prompt_no,connector,sentiment,embedding_file,text_file,n,dimensions
102,1,neg,neg_embed_102_1_2_fin.pkl,neg_lst_102_1.pkl,201,1536
102,2,neg,neg_embed_102_2_2_fin.pkl,neg_lst_102_1.pkl,201,1536
102,3,neg,neg_embed_102_3_2_fin.pkl,neg_lst_102_1.pkl,201,1536
102,4,neg,neg_embed_102_4_2_fin.pkl,neg_lst_102_1.pkl,201,1536
102,5,neg,neg_embed_102_5_2_fin.pkl,neg_lst_102_1.pkl,201,1536
102,6,neg,neg_embed_102_6_2_fin.pkl,neg_lst_102_1.pkl,201,1536
103,1,neg,neg_embed_103_1_2_fin.pkl,neg_lst_103_1.pkl,311,1536
103,2,neg,neg_embed_103_2_2_fin.pkl,neg_lst_103_1.pkl,311,1536
103,3,neg,neg_embed_103_3_2_fin.pkl,neg_lst_103_1.pkl,311,1536
103,4,neg,neg_embed_103_4_2_fin.pkl,neg_lst_103_1.pkl,311,1536
103,5,neg,neg_embed_103_5_2_fin.pkl,neg_lst_103_1.pkl,311,1536
103,6,neg,neg_embed_103_6_2_fin.pkl,neg_lst_103_1.pkl,311,1536
132,1,neg,neg_embed_132_1_2_fin.pkl,neg_lst_132_1.pkl,140,1536
132,2,neg,neg_embed_132_2_2_fin.pkl,neg_lst_132_1.pkl,140,1536
132,3,neg,neg_embed_132_3_2_fin.pkl,neg_lst_132_1.pkl,140,1536
132,4,neg,neg_embed_132_4_2_fin.pkl,neg_lst_132_1.pkl,140,1536
132,5,neg,neg_embed_132_5_2_fin.pkl,neg_lst_132_1.pkl,140,1536
132,6,neg,neg_embed_132_6_2_fin.pkl,neg_lst_132_1.pkl,140,1536
133,1,neg,neg_embed_133_1_2_fin.pkl,neg_lst_133_1.pkl,251,1536
133,2,neg,neg_embed_133_2_2_fin.pkl,neg_lst_133_1.pkl,251,1536
133,3,neg,neg_embed_133_3_2_fin.pkl,neg_lst_133_1.pkl,251,1536
133,4,neg,neg_embed_133_4_2_fin.pkl,neg_lst_133_1.pkl,251,1536
133,5,neg,neg_embed_133_5_2_fin.pkl,neg_lst_133_1.pkl,251,1536
133,6,neg,neg_embed_133_6_2_fin.pkl,neg_lst_133_1.pkl,251,1536
168,1,neg,neg_embed_168_1_2_fin.pkl,neg_lst_168_1.pkl,146,1536
168,2,neg,neg_embed_168_2_2_fin.pkl,neg_lst_168_1.pkl,146,1536
168,3,neg,neg_embed_168_3_2_fin.pkl,neg_lst_168_1.pkl,146,1536
168,4,neg,neg_embed_168_4_2_fin.pkl,neg_lst_168_1.pkl,146,1536
168,5,neg,neg_embed_168_5_2_fin.pkl,neg_lst_168_1.pkl,146,1536
168,6,neg,neg_embed_168_6_2_fin.pkl,neg_lst_168_1.pkl,146,1536
169,1,neg,neg_embed_169_1_2_fin.pkl,neg_lst_169_1.pkl,290,1536
169,2,neg,neg_embed_169_2_2_fin.pkl,neg_lst_169_1.pkl,290,1536
169,3,neg,neg_embed_169_3_2_fin.pkl,neg_lst_169_1.pkl,290,1536
169,4,neg,neg_embed_169_4_2_fin.pkl,neg_lst_169_1.pkl,290,1536
169,5,neg,neg_embed_169_5_2_fin.pkl,neg_lst_169_1.pkl,290,1536
169,6,neg,neg_embed_169_6_2_fin.pkl,neg_lst_169_1.pkl,290,1536
182,1,neg,neg_embed_182_1_2_fin.pkl,neg_lst_182_1.pkl,252,1536
182,2,neg,neg_embed_182_2_2_fin.pkl,neg_lst_182_1.pkl,252,1536
182,3,neg,neg_embed_182_3_2_fin.pkl,neg_lst_182_1.pkl,252,1536
182,4,neg,neg_embed_182_4_2_fin.pkl,neg_lst_182_1.pkl,252,1536
182,5,neg,neg_embed_182_5_2_fin.pkl,neg_lst_182_1.pkl,252,1536
182,6,neg,neg_embed_182_6_2_fin.pkl,neg_lst_182_1.pkl,252,1536
183,1,neg,neg_embed_183_1_2_fin.pkl,neg_lst_183_1.pkl,392,1536
183,2,neg,neg_embed_183_2_2_fin.pkl,neg_lst_183_1.pkl,392,1536
183,3,neg,neg_embed_183_3_2_fin.pkl,neg_lst_183_1.pkl,392,1536
183,4,neg,neg_embed_183_4_2_fin.pkl,neg_lst_183_1.pkl,392,1536
183,5,neg,neg_embed_183_5_2_fin.pkl,neg_lst_183_1.pkl,392,1536
183,6,neg,neg_embed_183_6_2_fin.pkl,neg_lst_183_1.pkl,392,1536
216,1,neg,neg_embed_216_1_2_fin.pkl,neg_lst_216_1.pkl,147,1536
216,2,neg,neg_embed_216_2_2_fin.pkl,neg_lst_216_1.pkl,147,1536
216,3,neg,neg_embed_216_3_2_fin.pkl,neg_lst_216_1.pkl,147,1536
216,4,neg,neg_embed_216_4_2_fin.pkl,neg_lst_216_1.pkl,147,1536
216,5,neg,neg_embed_216_5_2_fin.pkl,neg_lst_216_1.pkl,147,1536
216,6,neg,neg_embed_216_6_2_fin.pkl,neg_lst_216_1.pkl,147,1536
217,1,neg,neg_embed_217_1_2_fin.pkl,neg_lst_217_1.pkl,331,1536
217,2,neg,neg_embed_217_2_2_fin.pkl,neg_lst_217_1.pkl,331,1536
217,3,neg,neg_embed_217_3_2_fin.pkl,neg_lst_217_1.pkl,331,1536
217,4,neg,neg_embed_217_4_2_fin.pkl,neg_lst_217_1.pkl,331,1536
217,5,neg,neg_embed_217_5_2_fin.pkl,neg_lst_217_1.pkl,331,1536
217,6,neg,neg_embed_217_6_2_fin.pkl,neg_lst_217_1.pkl,331,1536
220,1,neg,neg_embed_220_1_2_fin.pkl,neg_lst_220_1.pkl,135,1536
220,2,neg,neg_embed_220_2_2_fin.pkl,neg_lst_220_1.pkl,135,1536
220,3,neg,neg_embed_220_3_2_fin.pkl,neg_lst_220_1.pkl,135,1536
220,4,neg,neg_embed_220_4_2_fin.pkl,neg_lst_220_1.pkl,135,1536
220,5,neg,neg_embed_220_5_2_fin.pkl,neg_lst_220_1.pkl,135,1536
220,6,neg,neg_embed_220_6_2_fin.pkl,neg_lst_220_1.pkl,135,1536
221,1,neg,neg_embed_221_1_2_fin.pkl,neg_lst_221_1.pkl,307,1536
221,2,neg,neg_embed_221_2_2_fin.pkl,neg_lst_221_1.pkl,307,1536
221,3,neg,neg_embed_221_3_2_fin.pkl,neg_lst_221_1.pkl,307,1536
221,4,neg,neg_embed_221_4_2_fin.pkl,neg_lst_221_1.pkl,307,1536
221,5,neg,neg_embed_221_5_2_fin.pkl,neg_lst_221_1.pkl,307,1536
221,6,neg,neg_embed_221_6_2_fin.pkl,neg_lst_221_1.pkl,307,1536
236,1,neg,neg_embed_236_1_2_fin.pkl,neg_lst_236_1.pkl,330,1536
236,2,neg,neg_embed_236_2_2_fin.pkl,neg_lst_236_1.pkl,330,1536
236,3,neg,neg_embed_236_3_2_fin.pkl,neg_lst_236_1.pkl,330,1536
