prompt_no,connector,sentiment,archive_file,archive_offset,global_offset,n,dimensions,source_embedding_file,source_text_file
38,1,neg,justification_embeddings_float32_part01.npz,0,0,225,1536,neg_embed_38_1_2_fin.pkl,neg_lst_38_1.pkl
38,1,pos,justification_embeddings_float32_part01.npz,225,225,275,1536,pos_embed_38_1_2_fin.pkl,pos_lst_38_1.pkl
38,2,neg,justification_embeddings_float32_part01.npz,500,500,225,1536,neg_embed_38_2_2_fin.pkl,neg_lst_38_1.pkl
38,2,pos,justification_embeddings_float32_part01.npz,725,725,275,1536,pos_embed_38_2_2_fin.pkl,pos_lst_38_1.pkl
38,3,neg,justification_embeddings_float32_part01.npz,1000,1000,225,1536,neg_embed_38_3_2_fin.pkl,neg_lst_38_1.pkl
38,3,pos,justification_embeddings_float32_part01.npz,1225,1225,275,1536,pos_embed_38_3_2_fin.pkl,pos_lst_38_1.pkl
38,4,neg,justification_embeddings_float32_part01.npz,1500,1500,225,1536,neg_embed_38_4_2_fin.pkl,neg_lst_38_1.pkl
38,4,pos,justification_embeddings_float32_part01.npz,1725,1725,275,1536,pos_embed_38_4_2_fin.pkl,pos_lst_38_1.pkl
38,5,neg,justification_embeddings_float32_part01.npz,2000,2000,225,1536,neg_embed_38_5_2_fin.pkl,neg_lst_38_1.pkl
38,5,pos,justification_embeddings_float32_part01.npz,2225,2225,275,1536,pos_embed_38_5_2_fin.pkl,pos_lst_38_1.pkl
38,6,neg,justification_embeddings_float32_part01.npz,2500,2500,225,1536,neg_embed_38_6_2_fin.pkl,neg_lst_38_1.pkl
38,6,pos,justification_embeddings_float32_part01.npz,2725,2725,275,1536,pos_embed_38_6_2_fin.pkl,pos_lst_38_1.pkl
39,1,neg,justification_embeddings_float32_part01.npz,3000,3000,165,1536,neg_embed_39_1_2_fin.pkl,neg_lst_39_1.pkl
39,1,pos,justification_embeddings_float32_part01.npz,3165,3165,335,1536,pos_embed_39_1_2_fin.pkl,pos_lst_39_1.pkl
39,2,neg,justification_embeddings_float32_part01.npz,3500,3500,165,1536,neg_embed_39_2_2_fin.pkl,neg_lst_39_1.pkl
39,2,pos,justification_embeddings_float32_part01.npz,3665,3665,335,1536,pos_embed_39_2_2_fin.pkl,pos_lst_39_1.pkl
39,3,neg,justification_embeddings_float32_part01.npz,4000,4000,165,1536,neg_embed_39_3_2_fin.pkl,neg_lst_39_1.pkl
39,3,pos,justification_embeddings_float32_part01.npz,4165,4165,335,1536,pos_embed_39_3_2_fin.pkl,pos_lst_39_1.pkl
39,4,neg,justification_embeddings_float32_part01.npz,4500,4500,165,1536,neg_embed_39_4_2_fin.pkl,neg_lst_39_1.pkl
39,4,pos,justification_embeddings_float32_part01.npz,4665,4665,335,1536,pos_embed_39_4_2_fin.pkl,pos_lst_39_1.pkl
39,5,neg,justification_embeddings_float32_part01.npz,5000,5000,165,1536,neg_embed_39_5_2_fin.pkl,neg_lst_39_1.pkl
39,5,pos,justification_embeddings_float32_part01.npz,5165,5165,335,1536,pos_embed_39_5_2_fin.pkl,pos_lst_39_1.pkl
39,6,neg,justification_embeddings_float32_part01.npz,5500,5500,165,1536,neg_embed_39_6_2_fin.pkl,neg_lst_39_1.pkl
39,6,pos,justification_embeddings_float32_part01.npz,5665,5665,335,1536,pos_embed_39_6_2_fin.pkl,pos_lst_39_1.pkl
62,1,neg,justification_embeddings_float32_part01.npz,6000,6000,335,1536,neg_embed_62_1_2_fin.pkl,neg_lst_62_1.pkl
62,1,pos,justification_embeddings_float32_part01.npz,6335,6335,165,1536,pos_embed_62_1_2_fin.pkl,pos_lst_62_1.pkl
62,2,neg,justification_embeddings_float32_part01.npz,6500,6500,335,1536,neg_embed_62_2_2_fin.pkl,neg_lst_62_1.pkl
62,2,pos,justification_embeddings_float32_part01.npz,6835,6835,165,1536,pos_embed_62_2_2_fin.pkl,pos_lst_62_1.pkl
62,3,neg,justification_embeddings_float32_part01.npz,7000,7000,335,1536,neg_embed_62_3_2_fin.pkl,neg_lst_62_1.pkl
62,3,pos,justification_embeddings_float32_part01.npz,7335,7335,165,1536,pos_embed_62_3_2_fin.pkl,pos_lst_62_1.pkl
62,4,neg,justification_embeddings_float32_part01.npz,7500,7500,335,1536,neg_embed_62_4_2_fin.pkl,neg_lst_62_1.pkl
62,4,pos,justification_embeddings_float32_part01.npz,7835,7835,165,1536,pos_embed_62_4_2_fin.pkl,pos_lst_62_1.pkl
62,5,neg,justification_embeddings_float32_part01.npz,8000,8000,335,1536,neg_embed_62_5_2_fin.pkl,neg_lst_62_1.pkl
62,5,pos,justification_embeddings_float32_part01.npz,8335,8335,165,1536,pos_embed_62_5_2_fin.pkl,pos_lst_62_1.pkl
62,6,neg,justification_embeddings_float32_part01.npz,8500,8500,335,1536,neg_embed_62_6_2_fin.pkl,neg_lst_62_1.pkl
62,6,pos,justification_embeddings_float32_part01.npz,8835,8835,165,1536,pos_embed_62_6_2_fin.pkl,pos_lst_62_1.pkl
63,1,neg,justification_embeddings_float32_part01.npz,9000,9000,384,1536,neg_embed_63_1_2_fin.pkl,neg_lst_63_1.pkl
63,1,pos,justification_embeddings_float32_part01.npz,9384,9384,116,1536,pos_embed_63_1_2_fin.pkl,pos_lst_63_1.pkl
63,2,neg,justification_embeddings_float32_part01.npz,9500,9500,384,1536,neg_embed_63_2_2_fin.pkl,neg_lst_63_1.pkl
